epoch: 1 | lr: 0.0000300 | Train loss: 0.45871230959892273 | Validation loss: 0.35530829429626465 | Validation accuracy: 40.94182825484764 | QWKappa: 0.7366146871581614
epoch: 2 | lr: 0.0003000 | Train loss: 0.39456748962402344 | Validation loss: 0.3492684066295624 | Validation accuracy: 41.05263157894737 | QWKappa: 0.71595947989114
epoch: 3 | lr: 0.0000300 | Train loss: 0.29436901211738586 | Validation loss: 0.2734223008155823 | Validation accuracy: 51.689750692520775 | QWKappa: 0.8000985338007581
epoch: 4 | lr: 0.0000296 | Train loss: 0.2665678858757019 | Validation loss: 0.2634355127811432 | Validation accuracy: 54.958448753462605 | QWKappa: 0.8125176822420948
epoch: 5 | lr: 0.0000285 | Train loss: 0.2566704750061035 | Validation loss: 0.26250001788139343 | Validation accuracy: 56.89750692520775 | QWKappa: 0.8123595265327239
epoch: 6 | lr: 0.0000267 | Train loss: 0.24341946840286255 | Validation loss: 0.26196032762527466 | Validation accuracy: 57.1191135734072 | QWKappa: 0.8254788407126934
epoch: 7 | lr: 0.0000244 | Train loss: 0.23563037812709808 | Validation loss: 0.2549075782299042 | Validation accuracy: 58.78116343490305 | QWKappa: 0.8314474802918432
epoch: 8 | lr: 0.0000215 | Train loss: 0.22843798995018005 | Validation loss: 0.25495225191116333 | Validation accuracy: 58.83656509695291 | QWKappa: 0.8293833526250881
epoch: 9 | lr: 0.0000183 | Train loss: 0.22092975676059723 | Validation loss: 0.25107961893081665 | Validation accuracy: 60.77562326869806 | QWKappa: 0.8255926892792714
epoch: 10 | lr: 0.0000150 | Train loss: 0.21461069583892822 | Validation loss: 0.25749078392982483 | Validation accuracy: 61.38504155124653 | QWKappa: 0.8367495074888366
epoch: 11 | lr: 0.0000117 | Train loss: 0.20700721442699432 | Validation loss: 0.2505474090576172 | Validation accuracy: 62.32686980609419 | QWKappa: 0.829922158526315
