epoch: 1 | lr: 0.0000300 | Train loss: 0.47961920499801636 | Validation loss: 0.38026171922683716 | Validation accuracy: 35.51246537396121 | QWKappa: 0.6450978378495821
epoch: 2 | lr: 0.0003000 | Train loss: 0.4194321930408478 | Validation loss: 0.46433117985725403 | Validation accuracy: 28.919667590027704 | QWKappa: 0.6399755385656228
epoch: 3 | lr: 0.0000300 | Train loss: 0.3267695903778076 | Validation loss: 0.31332626938819885 | Validation accuracy: 49.03047091412742 | QWKappa: 0.7788107148140672
epoch: 4 | lr: 0.0000296 | Train loss: 0.3017382323741913 | Validation loss: 0.29363739490509033 | Validation accuracy: 51.08033240997229 | QWKappa: 0.7860878030098453
epoch: 5 | lr: 0.0000285 | Train loss: 0.2905736267566681 | Validation loss: 0.2848316431045532 | Validation accuracy: 48.97506925207756 | QWKappa: 0.7925777475447957
epoch: 6 | lr: 0.0000267 | Train loss: 0.2795381247997284 | Validation loss: 0.2813093066215515 | Validation accuracy: 53.29639889196676 | QWKappa: 0.8140151008914867
epoch: 7 | lr: 0.0000244 | Train loss: 0.27258771657943726 | Validation loss: 0.27044418454170227 | Validation accuracy: 53.46260387811634 | QWKappa: 0.819777061110494
epoch: 8 | lr: 0.0000215 | Train loss: 0.26449599862098694 | Validation loss: 0.2672920823097229 | Validation accuracy: 54.34903047091413 | QWKappa: 0.823983068197826
epoch: 9 | lr: 0.0000183 | Train loss: 0.2592584490776062 | Validation loss: 0.27438679337501526 | Validation accuracy: 55.45706371191136 | QWKappa: 0.8237095407731017
epoch: 10 | lr: 0.0000150 | Train loss: 0.2515687942504883 | Validation loss: 0.2709369957447052 | Validation accuracy: 56.066481994459835 | QWKappa: 0.8223457836732658
epoch: 11 | lr: 0.0000117 | Train loss: 0.24926608800888062 | Validation loss: 0.27176880836486816 | Validation accuracy: 55.90027700831025 | QWKappa: 0.8264994684314813
epoch: 12 | lr: 0.0000085 | Train loss: 0.2448767125606537 | Validation loss: 0.2687532603740692 | Validation accuracy: 56.62049861495845 | QWKappa: 0.8280860434504811
epoch: 13 | lr: 0.0000056 | Train loss: 0.24114631116390228 | Validation loss: 0.26788023114204407 | Validation accuracy: 55.45706371191136 | QWKappa: 0.8305682682620722
epoch: 14 | lr: 0.0000033 | Train loss: 0.23765304684638977 | Validation loss: 0.2670988142490387 | Validation accuracy: 56.50969529085873 | QWKappa: 0.8317876910276654
epoch: 15 | lr: 0.0000015 | Train loss: 0.2353649139404297 | Validation loss: 0.27039825916290283 | Validation accuracy: 56.50969529085873 | QWKappa: 0.8283698500249789
