epoch: 1 | lr: 0.0000300 | Train loss: 0.47261103987693787 | Validation loss: 0.36754533648490906 | Validation accuracy: 34.34903047091413 | QWKappa: 0.7065431449585159
epoch: 2 | lr: 0.0003000 | Train loss: 0.4021839499473572 | Validation loss: 0.37669292092323303 | Validation accuracy: 31.57894736842105 | QWKappa: 0.7330081599799658
epoch: 3 | lr: 0.0000300 | Train loss: 0.307076632976532 | Validation loss: 0.29509469866752625 | Validation accuracy: 50.85872576177285 | QWKappa: 0.8050106453889597
epoch: 4 | lr: 0.0000296 | Train loss: 0.2825154662132263 | Validation loss: 0.2724449336528778 | Validation accuracy: 55.013850415512465 | QWKappa: 0.8162351383031474
epoch: 5 | lr: 0.0000285 | Train loss: 0.27061495184898376 | Validation loss: 0.26253947615623474 | Validation accuracy: 56.56509695290859 | QWKappa: 0.8251371867182156
epoch: 6 | lr: 0.0000267 | Train loss: 0.25991639494895935 | Validation loss: 0.26665058732032776 | Validation accuracy: 57.06371191135734 | QWKappa: 0.8214889200751626
epoch: 7 | lr: 0.0000244 | Train loss: 0.25124478340148926 | Validation loss: 0.31357163190841675 | Validation accuracy: 48.03324099722992 | QWKappa: 0.7887044791034413
epoch: 8 | lr: 0.0000215 | Train loss: 0.2455584704875946 | Validation loss: 0.2619515061378479 | Validation accuracy: 56.62049861495845 | QWKappa: 0.825468567217442
epoch: 9 | lr: 0.0000183 | Train loss: 0.23548582196235657 | Validation loss: 0.25738126039505005 | Validation accuracy: 57.89473684210527 | QWKappa: 0.8342362412194848
epoch: 10 | lr: 0.0000150 | Train loss: 0.23357315361499786 | Validation loss: 0.26234742999076843 | Validation accuracy: 56.066481994459835 | QWKappa: 0.8221007152531511
epoch: 11 | lr: 0.0000117 | Train loss: 0.22743403911590576 | Validation loss: 0.2562198042869568 | Validation accuracy: 58.72576177285319 | QWKappa: 0.8365153245455447
epoch: 12 | lr: 0.0000085 | Train loss: 0.22173456847667694 | Validation loss: 0.25813570618629456 | Validation accuracy: 56.62049861495845 | QWKappa: 0.8222904088904532
epoch: 13 | lr: 0.0000056 | Train loss: 0.2179958075284958 | Validation loss: 0.25692033767700195 | Validation accuracy: 58.17174515235457 | QWKappa: 0.833106969835584
epoch: 14 | lr: 0.0000033 | Train loss: 0.21840952336788177 | Validation loss: 0.2626294195652008 | Validation accuracy: 56.78670360110804 | QWKappa: 0.828597374320945
epoch: 15 | lr: 0.0000015 | Train loss: 0.21317844092845917 | Validation loss: 0.2574159502983093 | Validation accuracy: 57.95013850415513 | QWKappa: 0.8335060093077414
