epoch: 1 | lr: 0.0000300 | Train loss: 0.462406188249588 | Validation loss: 0.350273996591568 | Validation accuracy: 39.16897506925208 | QWKappa: 0.6909694946033704
epoch: 2 | lr: 0.0003000 | Train loss: 0.3848145306110382 | Validation loss: 0.38605865836143494 | Validation accuracy: 49.14127423822715 | QWKappa: 0.716702321921749
epoch: 3 | lr: 0.0000300 | Train loss: 0.27910012006759644 | Validation loss: 0.27195659279823303 | Validation accuracy: 55.67867036011081 | QWKappa: 0.8202933542740749
epoch: 4 | lr: 0.0000296 | Train loss: 0.26270243525505066 | Validation loss: 0.25620248913764954 | Validation accuracy: 55.4016620498615 | QWKappa: 0.8249775788547449
epoch: 5 | lr: 0.0000285 | Train loss: 0.25055044889450073 | Validation loss: 0.2417808324098587 | Validation accuracy: 59.556786703601105 | QWKappa: 0.8336588862498335
epoch: 6 | lr: 0.0000267 | Train loss: 0.23933729529380798 | Validation loss: 0.24187272787094116 | Validation accuracy: 59.66759002770083 | QWKappa: 0.8487645606623662
epoch: 7 | lr: 0.0000244 | Train loss: 0.23146378993988037 | Validation loss: 0.24644549190998077 | Validation accuracy: 59.05817174515236 | QWKappa: 0.8451784361576115
epoch: 8 | lr: 0.0000215 | Train loss: 0.22768956422805786 | Validation loss: 0.2380065619945526 | Validation accuracy: 62.04986149584487 | QWKappa: 0.843769940537641
epoch: 9 | lr: 0.0000183 | Train loss: 0.22262047231197357 | Validation loss: 0.23327352106571198 | Validation accuracy: 61.93905817174515 | QWKappa: 0.8438433681585925
epoch: 10 | lr: 0.0000150 | Train loss: 0.21419566869735718 | Validation loss: 0.24181987345218658 | Validation accuracy: 60.99722991689751 | QWKappa: 0.8513009403243317
epoch: 11 | lr: 0.0000117 | Train loss: 0.20903658866882324 | Validation loss: 0.2389051467180252 | Validation accuracy: 63.988919667590025 | QWKappa: 0.8419253369875189
epoch: 12 | lr: 0.0000085 | Train loss: 0.20759423077106476 | Validation loss: 0.23454123735427856 | Validation accuracy: 64.15512465373962 | QWKappa: 0.844479253865023
epoch: 13 | lr: 0.0000056 | Train loss: 0.19958864152431488 | Validation loss: 0.23802071809768677 | Validation accuracy: 63.711911357340725 | QWKappa: 0.8474745057527019
epoch: 14 | lr: 0.0000033 | Train loss: 0.2004668414592743 | Validation loss: 0.24038031697273254 | Validation accuracy: 64.21052631578948 | QWKappa: 0.8422405299853022
epoch: 15 | lr: 0.0000015 | Train loss: 0.1949324607849121 | Validation loss: 0.2400902658700943 | Validation accuracy: 63.49030470914128 | QWKappa: 0.8479932260940723
