epoch: 1 | lr: 0.0000300 | Train loss: 0.4756355881690979 | Validation loss: 0.375586599111557 | Validation accuracy: a | QWKappa: k
epoch: 1 | lr: 0.0000300 | Train loss: 0.4753059446811676 | Validation loss: 0.3709656000137329 | Validation accuracy: 37.33069251477718 | QWKappa: 0.6616467139091134
epoch: 2 | lr: 0.0003000 | Train loss: 0.41240566968917847 | Validation loss: 0.3737450838088989 | Validation accuracy: 46.13878123164177 | QWKappa: 0.7311391785187643
epoch: 3 | lr: 0.0000300 | Train loss: 0.2801845967769623 | Validation loss: 0.3313594162464142 | Validation accuracy: 53.39030497074127 | QWKappa: 0.7692276455007157
epoch: 4 | lr: 0.0000296 | Train loss: 0.2329653799533844 | Validation loss: 0.3381151556968689 | Validation accuracy: 54.57972328066826 | QWKappa: 0.7772186108781546
epoch: 5 | lr: 0.0000285 | Train loss: 0.19089193642139435 | Validation loss: 0.35454505681991577 | Validation accuracy: 54.74509711265564 | QWKappa: 0.7743622063231623
epoch: 6 | lr: 0.0000267 | Train loss: 0.14872930943965912 | Validation loss: 0.3859104812145233 | Validation accuracy: 55.27318587899208 | QWKappa: 0.7710409418025934
epoch: 1 | lr: 0.0000300 | Train loss: 0.47540250420570374 | Validation loss: 0.3711380958557129 | Validation accuracy: 37.24282548725605 | QWKappa: 0.6604293589486305
epoch: 2 | lr: 0.0003000 | Train loss: 0.41254788637161255 | Validation loss: 0.3686063885688782 | Validation accuracy: 41.203213238716124 | QWKappa: 0.7027116273573382
epoch: 3 | lr: 0.0000300 | Train loss: 0.2763823866844177 | Validation loss: 0.32694172859191895 | Validation accuracy: 54.41551274061203 | QWKappa: 0.7710719785796073
epoch: 4 | lr: 0.0000296 | Train loss: 0.23062676191329956 | Validation loss: 0.3343733251094818 | Validation accuracy: 55.02637141942978 | QWKappa: 0.7806070020375689
epoch: 5 | lr: 0.0000285 | Train loss: 0.18893304467201233 | Validation loss: 0.3465992212295532 | Validation accuracy: 55.761496025323865 | QWKappa: 0.7792397737379754
epoch: 6 | lr: 0.0000267 | Train loss: 0.14592936635017395 | Validation loss: 0.3841043710708618 | Validation accuracy: 56.712354600429535 | QWKappa: 0.7744861017603517
epoch: 7 | lr: 0.0000244 | Train loss: 0.10701251775026321 | Validation loss: 0.44368302822113037 | Validation accuracy: 56.08016628026962 | QWKappa: 0.7652437198298887
epoch: 8 | lr: 0.0000215 | Train loss: 0.07827144116163254 | Validation loss: 0.5012648105621338 | Validation accuracy: 56.39689745903015 | QWKappa: 0.7683456769006534
epoch: 9 | lr: 0.0000183 | Train loss: 0.059574782848358154 | Validation loss: 0.5393909215927124 | Validation accuracy: 56.216565078496934 | QWKappa: 0.7724576375823518
epoch: 10 | lr: 0.0000150 | Train loss: 0.044231388717889786 | Validation loss: 0.582483172416687 | Validation accuracy: 55.43196700811386 | QWKappa: 0.7717014318907488
epoch: 11 | lr: 0.0000117 | Train loss: 0.03265201300382614 | Validation loss: 0.6329250931739807 | Validation accuracy: 55.9409973859787 | QWKappa: 0.771768374158152
epoch: 12 | lr: 0.0000085 | Train loss: 0.024192992597818375 | Validation loss: 0.663784384727478 | Validation accuracy: 55.09966780543327 | QWKappa: 0.7712769839394986
epoch: 13 | lr: 0.0000056 | Train loss: 0.01906009204685688 | Validation loss: 0.6875026822090149 | Validation accuracy: 55.84753467440605 | QWKappa: 0.7732416422836013
epoch: 14 | lr: 0.0000033 | Train loss: 0.015354649163782597 | Validation loss: 0.7070169448852539 | Validation accuracy: 55.72703610658645 | QWKappa: 0.7698533355120811
epoch: 15 | lr: 0.0000015 | Train loss: 0.013926751911640167 | Validation loss: 0.7159609198570251 | Validation accuracy: 55.29096977114678 | QWKappa: 0.7692383992615909
