epoch: 1 | lr: 0.0000300 | Train loss: 0.4628971517086029 | Validation loss: 0.3439018130302429 | Validation accuracy: 38.37141183362625 | QWKappa: 0.7474801644196715
epoch: 2 | lr: 0.0003000 | Train loss: 0.3778521716594696 | Validation loss: 0.3117397725582123 | Validation accuracy: 47.158758055067366 | QWKappa: 0.7658235906039501
epoch: 3 | lr: 0.0000300 | Train loss: 0.2726564407348633 | Validation loss: 0.25691840052604675 | Validation accuracy: 57.58640890451083 | QWKappa: 0.8300981950305605
epoch: 4 | lr: 0.0000296 | Train loss: 0.2521207928657532 | Validation loss: 0.24748143553733826 | Validation accuracy: 60.98418277680141 | QWKappa: 0.8403732735989246
epoch: 5 | lr: 0.0000285 | Train loss: 0.24038848280906677 | Validation loss: 0.2683803141117096 | Validation accuracy: 55.88752196836555 | QWKappa: 0.8277420862743765
epoch: 6 | lr: 0.0000267 | Train loss: 0.23288318514823914 | Validation loss: 0.2316453903913498 | Validation accuracy: 62.038664323374334 | QWKappa: 0.848605729265939
epoch: 7 | lr: 0.0000244 | Train loss: 0.22289739549160004 | Validation loss: 0.23535175621509552 | Validation accuracy: 63.15172817809022 | QWKappa: 0.8491810823170287
epoch: 8 | lr: 0.0000215 | Train loss: 0.21619756519794464 | Validation loss: 0.23179733753204346 | Validation accuracy: 64.03046280023433 | QWKappa: 0.8534399755267926
epoch: 9 | lr: 0.0000183 | Train loss: 0.2127140760421753 | Validation loss: 0.24169299006462097 | Validation accuracy: 60.92560046865847 | QWKappa: 0.850185458137912
epoch: 10 | lr: 0.0000150 | Train loss: 0.2042681872844696 | Validation loss: 0.23214596509933472 | Validation accuracy: 60.45694200351493 | QWKappa: 0.8522108260319362
epoch: 11 | lr: 0.0000117 | Train loss: 0.2013339251279831 | Validation loss: 0.2295527160167694 | Validation accuracy: 62.038664323374334 | QWKappa: 0.8539760020327485
epoch: 12 | lr: 0.0000085 | Train loss: 0.19653114676475525 | Validation loss: 0.23153892159461975 | Validation accuracy: 63.50322202694786 | QWKappa: 0.856405212131625
epoch: 13 | lr: 0.0000056 | Train loss: 0.19369971752166748 | Validation loss: 0.22786378860473633 | Validation accuracy: 63.50322202694786 | QWKappa: 0.8567978080776172
epoch: 14 | lr: 0.0000033 | Train loss: 0.19422312080860138 | Validation loss: 0.22658869624137878 | Validation accuracy: 63.09314586994728 | QWKappa: 0.8570227545488729
epoch: 15 | lr: 0.0000015 | Train loss: 0.18891242146492004 | Validation loss: 0.2252616137266159 | Validation accuracy: 63.15172817809022 | QWKappa: 0.8599237857614044
