,b0,b1,b2,b3,b4,b5,b6,b7,convnext-tiny,convnext-small,convnext-base,swin-tiny,swin-small,swin-base
b0,0.25042301184433163,0.16751269035532995,0.15820642978003385,0.16835871404399322,0.16751269035532995,0.1692047377326565,0.17343485617597293,0.17174280879864637,0.16412859560067683,0.17597292724196278,0.14720812182741116,0.16751269035532995,0.18274111675126903,0.15313028764805414
b1,0.16751269035532995,0.26903553299492383,0.17597292724196278,0.18104906937394247,0.17428087986463622,0.17343485617597293,0.17343485617597293,0.18274111675126903,0.1658206429780034,0.18781725888324874,0.1658206429780034,0.18104906937394247,0.19120135363790186,0.17258883248730963
b2,0.15820642978003385,0.17597292724196278,0.2639593908629442,0.1751269035532995,0.16666666666666666,0.17343485617597293,0.18104906937394247,0.17343485617597293,0.16751269035532995,0.18189509306260576,0.15905245346869712,0.18274111675126903,0.19373942470389172,0.16751269035532995
b3,0.16835871404399322,0.18104906937394247,0.1751269035532995,0.2876480541455161,0.1895093062605753,0.1895093062605753,0.19543147208121828,0.20135363790186125,0.18274111675126903,0.20812182741116753,0.17428087986463622,0.18612521150592218,0.21996615905245348,0.18274111675126903
b4,0.16751269035532995,0.17428087986463622,0.16666666666666666,0.1895093062605753,0.30456852791878175,0.20473773265651438,0.21573604060913706,0.23096446700507614,0.20135363790186125,0.22588832487309646,0.20642978003384094,0.20642978003384094,0.23181049069373943,0.20304568527918782
b5,0.1692047377326565,0.17343485617597293,0.17343485617597293,0.1895093062605753,0.20473773265651438,0.34179357021996615,0.22081218274111675,0.2326565143824027,0.19796954314720813,0.2225042301184433,0.20304568527918782,0.20812182741116753,0.22927241962774958,0.19543147208121828
b6,0.17343485617597293,0.17343485617597293,0.18104906937394247,0.19543147208121828,0.21573604060913706,0.22081218274111675,0.34348561759729274,0.24450084602368866,0.20812182741116753,0.23857868020304568,0.20050761421319796,0.21742808798646363,0.24619289340101522,0.21065989847715735
b7,0.17174280879864637,0.18274111675126903,0.17343485617597293,0.20135363790186125,0.23096446700507614,0.2326565143824027,0.24450084602368866,0.3544839255499154,0.20642978003384094,0.24534686971235195,0.20812182741116753,0.2182741116751269,0.2614213197969543,0.21235194585448391
convnext-tiny,0.16412859560067683,0.1658206429780034,0.16751269035532995,0.18274111675126903,0.20135363790186125,0.19796954314720813,0.20812182741116753,0.20642978003384094,0.30456852791878175,0.2140439932318105,0.21489001692047377,0.21150592216582065,0.23011844331641285,0.21065989847715735
convnext-small,0.17597292724196278,0.18781725888324874,0.18189509306260576,0.20812182741116753,0.22588832487309646,0.2225042301184433,0.23857868020304568,0.24534686971235195,0.2140439932318105,0.3900169204737733,0.2089678510998308,0.2326565143824027,0.3164128595600677,0.23434856175972926
convnext-base,0.14720812182741116,0.1658206429780034,0.15905245346869712,0.17428087986463622,0.20642978003384094,0.20304568527918782,0.20050761421319796,0.20812182741116753,0.21489001692047377,0.2089678510998308,0.29357021996615906,0.21235194585448391,0.2182741116751269,0.2089678510998308
swin-tiny,0.16751269035532995,0.18104906937394247,0.18274111675126903,0.18612521150592218,0.20642978003384094,0.20812182741116753,0.21742808798646363,0.2182741116751269,0.21150592216582065,0.2326565143824027,0.21235194585448391,0.3257191201353638,0.24111675126903553,0.24111675126903553
swin-small,0.18274111675126903,0.19120135363790186,0.19373942470389172,0.21996615905245348,0.23181049069373943,0.22927241962774958,0.24619289340101522,0.2614213197969543,0.23011844331641285,0.3164128595600677,0.2182741116751269,0.24111675126903553,0.47292724196277497,0.24196277495769883
swin-base,0.15313028764805414,0.17258883248730963,0.16751269035532995,0.18274111675126903,0.20304568527918782,0.19543147208121828,0.21065989847715735,0.21235194585448391,0.21065989847715735,0.23434856175972926,0.2089678510998308,0.24111675126903553,0.24196277495769883,0.3189509306260575
